ticker,signal_date,entry_date,entry_price,resistance_level,base_low,target_price,stop_price,exit_date,exit_price,exit_reason,days_held,pnl,win,risk_reward,volume_ratio,consolidation_length,base_range_pct,year
L,2023-07-07,2023-07-07,60.45,60.17,57.47,62.87,57.18,2023-07-31,62.87,Profit Target,16,0.040033,True,0.741,1.504,22,0.046981,2023
LIN,2023-12-12,2023-12-12,426.72,416.19,397.38,435.0,395.39,2024-01-11,405.96,Time Exit,20,-0.04865,False,0.264,4.14,19,0.047335,2023
LMT,2023-07-17,2023-07-17,469.97,467.44,445.89,488.99,443.66,2023-08-14,450.08,Time Exit,20,-0.042322,False,0.723,2.217,29,0.04833,2023
MA,2023-12-13,2023-12-13,424.68,421.0,404.32,437.68,402.3,2024-01-12,429.1,Time Exit,20,0.010408,True,0.581,1.503,15,0.041254,2023
MCD,2023-01-17,2023-01-17,274.11,271.02,259.51,282.53,258.21,2023-02-14,266.61,Time Exit,20,-0.027361,False,0.53,1.589,19,0.044353,2023
MCD,2023-06-16,2023-06-16,293.7,293.48,280.0,306.96,278.6,2023-07-18,293.82,Time Exit,20,0.000409,True,0.878,1.909,17,0.048143,2023
MKC,2023-04-28,2023-04-28,87.85,87.45,84.07,90.83,83.65,2023-05-15,90.83,Profit Target,11,0.033921,True,0.709,1.675,17,0.040205,2023
MNST,2023-07-21,2023-07-21,58.1,58.01,55.28,60.74,55.0,2023-08-04,55.0,Stop Loss,10,-0.053294,False,0.853,2.785,16,0.049385,2023
MSI,2023-02-10,2023-02-10,271.52,261.63,251.0,272.26,249.75,2023-02-13,272.26,Profit Target,1,0.002725,True,0.034,2.182,16,0.042351,2023
NDSN,2023-07-31,2023-07-31,251.61,251.29,239.69,262.89,238.49,2023-08-15,238.49,Stop Loss,11,-0.052138,False,0.86,1.517,23,0.048396,2023
NDSN,2023-12-14,2023-12-14,250.0,242.76,231.48,254.04,230.32,2023-12-15,254.04,Profit Target,1,0.01616,True,0.205,3.149,16,0.04873,2023
NEE,2023-01-17,2023-01-17,85.74,85.67,82.14,89.2,81.73,2023-01-20,81.73,Stop Loss,3,-0.046777,False,0.863,1.537,19,0.042975,2023
NWSA,2023-06-07,2023-06-07,19.43,18.98,18.1,19.86,18.01,2023-07-07,19.86,Profit Target,20,0.022131,True,0.303,1.954,16,0.048619,2023
OTIS,2023-07-26,2023-07-26,90.73,89.43,85.81,93.05,85.38,2023-08-15,85.38,Stop Loss,14,-0.058956,False,0.434,2.636,16,0.042186,2023
OTIS,2023-12-08,2023-12-08,87.5,87.27,83.21,91.33,82.79,2024-01-09,86.9,Time Exit,20,-0.006857,False,0.814,1.832,16,0.048792,2023
PCG,2023-07-05,2023-07-05,17.82,17.56,16.77,18.35,16.69,2023-08-02,17.57,Time Exit,20,-0.014029,False,0.467,1.725,19,0.047108,2023
PEP,2023-04-25,2023-04-25,189.71,186.57,179.31,193.83,178.41,2023-05-04,193.83,Profit Target,7,0.021717,True,0.365,1.816,20,0.040489,2023
PEP,2023-07-21,2023-07-21,190.16,189.99,181.08,198.9,180.17,2023-08-17,180.17,Stop Loss,19,-0.052511,False,0.875,2.805,26,0.049205,2023
PG,2023-04-21,2023-04-21,156.07,152.96,145.8,160.12,145.07,2023-05-19,153.17,Time Exit,20,-0.018581,False,0.368,2.761,18,0.049108,2023
PG,2023-11-30,2023-11-30,153.52,153.5,146.28,160.72,145.55,2023-12-08,145.55,Stop Loss,6,-0.051924,False,0.903,1.578,30,0.049357,2023
PGR,2023-08-16,2023-08-16,136.14,130.0,123.82,136.18,123.2,2023-08-17,136.18,Profit Target,1,0.000294,True,0.003,2.436,15,0.049911,2023
PPL,2023-12-13,2023-12-13,27.27,26.62,25.39,27.85,25.26,2024-01-04,27.85,Profit Target,14,0.021269,True,0.289,1.625,20,0.048444,2023
ROP,2023-04-27,2023-04-27,452.98,448.36,428.84,467.88,426.7,2023-05-25,449.44,Time Exit,20,-0.007815,False,0.567,1.556,22,0.045518,2023
ROP,2023-07-21,2023-07-21,499.38,486.46,464.82,508.1,462.5,2023-08-18,484.34,Time Exit,20,-0.030117,False,0.236,1.77,17,0.046556,2023
ROP,2023-11-30,2023-11-30,538.25,531.75,507.59,555.91,505.05,2023-12-29,545.17,Time Exit,20,0.012856,True,0.532,3.122,15,0.047597,2023
RSG,2023-04-28,2023-04-28,144.62,139.99,133.43,146.55,132.76,2023-05-03,146.55,Profit Target,3,0.013345,True,0.163,2.075,20,0.049164,2023
SJM,2023-05-01,2023-05-01,157.04,156.99,150.33,163.65,149.58,2023-05-22,149.58,Stop Loss,15,-0.047514,False,0.886,1.776,15,0.044303,2023
SNPS,2023-05-17,2023-05-17,377.08,377.0,360.37,393.63,358.57,2023-05-18,393.63,Profit Target,1,0.04389,True,0.894,1.739,16,0.046147,2023
SW,2023-05-15,2023-05-15,38.04,36.99,35.45,38.53,35.27,2023-05-23,38.53,Profit Target,6,0.012881,True,0.177,2.105,18,0.043441,2023
TAP,2023-11-30,2023-11-30,61.54,60.58,58.03,63.13,57.74,2023-12-04,63.13,Profit Target,2,0.025837,True,0.418,1.716,18,0.043943,2023
TEL,2023-07-26,2023-07-26,144.43,143.74,137.28,150.2,136.59,2023-08-08,136.59,Stop Loss,9,-0.054257,False,0.736,1.793,17,0.047057,2023
TJX,2023-08-16,2023-08-16,89.31,87.81,83.99,91.63,83.57,2023-08-30,91.63,Profit Target,10,0.025977,True,0.404,3.824,25,0.045482,2023
TMUS,2023-11-30,2023-11-30,150.45,149.62,143.42,155.82,142.7,2023-12-07,155.82,Profit Target,5,0.035693,True,0.693,1.515,20,0.04323,2023
TRI,2023-08-02,2023-08-02,136.92,135.85,129.45,142.25,128.8,2023-08-08,128.8,Stop Loss,4,-0.059285,False,0.657,1.796,15,0.04944,2023
TRMB,2023-08-03,2023-08-03,55.51,54.42,51.84,57.0,51.58,2023-08-25,51.58,Stop Loss,16,-0.070784,False,0.379,3.305,18,0.049768,2023
TT,2023-08-02,2023-08-02,205.06,201.84,192.43,211.25,191.47,2023-08-30,205.93,Time Exit,20,0.004243,True,0.455,2.138,16,0.048901,2023
