date,ticker,pnl,equity
2021-08-17,AXON,-0.02,1.4535977371937665
2021-08-18,MRNA,-0.02,1.4245257824498911
2021-08-19,MCO,-0.02,1.3960352668008933
2021-08-24,PSA,0.021961,1.4266935972951076
2021-08-24,NOW,0.07,1.5265621491057653
2021-08-24,MSTR,-0.02,1.4960309061236499
2021-08-24,MRNA,-0.02,1.466110288001177
2021-08-25,INTU,0.039655,1.5242488914718635
2021-08-31,MSTR,-0.02,1.4937639136424261
2021-08-31,RVTY,-0.02,1.4638886353695775
2021-09-03,EQIX,0.07,1.566360839845448
2021-09-08,DASH,0.07,1.6760060986346295
2021-09-08,FSLR,0.07,1.7933265255390536
2021-09-09,KO,-0.00711,1.780575973942471
2021-09-09,CPRT,-0.02,1.7449644544636214
2021-09-09,STE,-0.02,1.7100651653743488
2021-09-09,MRNA,0.07,1.8297697269505533
2021-09-13,CARR,-0.02,1.7931743324115421
2021-09-13,IDXX,-0.02,1.7573108457633113
2021-09-15,DHR,-0.02,1.722164628848045
2021-09-16,ADM,0.030581,1.774830145362847
2021-09-20,KMB,-0.052046,1.6824573356172923
2021-09-20,MELI,-0.02,1.6488081889049464
2021-09-20,UNH,-0.02,1.6158320251268474
2021-09-27,PG,-0.004008,1.609355770370139
2021-09-27,KDP,-0.0527,1.524542721271633
2021-09-27,FTNT,-0.02,1.4940518668462002
2021-09-27,GRMN,-0.02,1.4641708295092761
2021-09-28,CPT,-0.02,1.4348874129190905
2021-09-28,MPWR,-0.02,1.4061896646607086
2021-09-29,EXE,-0.02,1.3780658713674945
2021-09-30,ULTA,-0.02,1.3505045539401446
2021-10-04,PWR,-0.02,1.3234944628613416
2021-10-06,SMCI,-0.02,1.2970245736041148
2021-10-08,TEAM,-0.02,1.2710840821320326
2021-10-18,NTAP,-0.02,1.245662400489392
2021-10-19,NOW,0.07,1.3328587685236495
2021-10-20,BLDR,0.07,1.426158882320305
2021-10-20,ABNB,-0.02,1.397635704673899
2021-10-22,TEAM,0.07,1.495470204001072
2021-10-22,ABNB,-0.02,1.4655607999210505
2021-10-25,CBRE,0.07,1.5681500559155241
2021-10-27,EXE,-0.02,1.5367870547972136
